target,feature,importance
seg_1,item_id,2712
seg_1,dept_id,48
seg_1,cat_id,7
seg_1,store_id,187
seg_1,state_id,3
seg_1,origin_day,218
seg_1,lag_1,241
seg_1,lag_7,16
seg_1,lag_14,1
seg_1,lag_28,7
seg_1,lag_56,11
seg_1,roll_7_sum,423
seg_1,roll_7_mean,51
seg_1,roll_14_sum,166
seg_1,roll_14_mean,30
seg_1,roll_28_sum,280
seg_1,roll_28_mean,33
seg_1,roll_56_sum,652
seg_1,roll_56_mean,36
seg_1,zero_rate_28,162
seg_1,trend_28_vs_prior,137
seg_1,item_all_store_roll_28_sum,305
seg_1,dept_store_roll_28_sum,56
seg_1,cat_store_roll_28_sum,118
seg_1,store_roll_28_sum,64
seg_1,state_cat_roll_28_sum,50
seg_1,item_all_store_prior_28_sum,151
seg_1,item_all_store_trend,415
seg_2,item_id,3162
seg_2,dept_id,16
seg_2,cat_id,1
seg_2,store_id,163
seg_2,state_id,9
seg_2,origin_day,284
seg_2,lag_1,126
seg_2,lag_7,9
seg_2,lag_14,13
seg_2,lag_28,10
seg_2,lag_56,55
seg_2,roll_7_sum,340
seg_2,roll_7_mean,45
seg_2,roll_14_sum,181
seg_2,roll_14_mean,26
seg_2,roll_28_sum,252
seg_2,roll_28_mean,32
seg_2,roll_56_sum,531
seg_2,roll_56_mean,33
seg_2,zero_rate_28,115
seg_2,trend_28_vs_prior,99
seg_2,item_all_store_roll_28_sum,273
seg_2,dept_store_roll_28_sum,67
seg_2,cat_store_roll_28_sum,106
seg_2,store_roll_28_sum,55
seg_2,state_cat_roll_28_sum,37
seg_2,item_all_store_prior_28_sum,193
seg_2,item_all_store_trend,347
seg_3,item_id,3294
seg_3,dept_id,30
seg_3,cat_id,0
seg_3,store_id,80
seg_3,state_id,5
seg_3,origin_day,397
seg_3,lag_1,85
seg_3,lag_7,5
seg_3,lag_14,15
seg_3,lag_28,11
seg_3,lag_56,47
seg_3,roll_7_sum,216
seg_3,roll_7_mean,35
seg_3,roll_14_sum,258
seg_3,roll_14_mean,34
seg_3,roll_28_sum,203
seg_3,roll_28_mean,25
seg_3,roll_56_sum,500
seg_3,roll_56_mean,27
seg_3,zero_rate_28,132
seg_3,trend_28_vs_prior,69
seg_3,item_all_store_roll_28_sum,283
seg_3,dept_store_roll_28_sum,93
seg_3,cat_store_roll_28_sum,110
seg_3,store_roll_28_sum,104
seg_3,state_cat_roll_28_sum,34
seg_3,item_all_store_prior_28_sum,223
seg_3,item_all_store_trend,265
seg_4,item_id,3552
seg_4,dept_id,29
seg_4,cat_id,1
seg_4,store_id,153
seg_4,state_id,1
seg_4,origin_day,210
seg_4,lag_1,58
seg_4,lag_7,5
seg_4,lag_14,9
seg_4,lag_28,17
seg_4,lag_56,38
seg_4,roll_7_sum,234
seg_4,roll_7_mean,32
seg_4,roll_14_sum,183
seg_4,roll_14_mean,22
seg_4,roll_28_sum,159
seg_4,roll_28_mean,16
seg_4,roll_56_sum,506
seg_4,roll_56_mean,25
seg_4,zero_rate_28,149
seg_4,trend_28_vs_prior,96
seg_4,item_all_store_roll_28_sum,342
seg_4,dept_store_roll_28_sum,120
seg_4,cat_store_roll_28_sum,53
seg_4,store_roll_28_sum,88
seg_4,state_cat_roll_28_sum,55
seg_4,item_all_store_prior_28_sum,248
seg_4,item_all_store_trend,179
