id,item_id,dept_id,cat_id,store_id,state_id,bottom_roll_7_sum,bottom_roll_14_sum,bottom_roll_28_sum,bottom_zero_rate_28,bottom_trend_28_vs_prior,item_all_store_roll_28_sum,dept_store_roll_28_sum,cat_store_roll_28_sum,store_roll_28_sum,state_cat_roll_28_sum,item_all_store_prior_28_sum,dept_store_prior_28_sum,item_all_store_trend,dept_store_trend
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,8,13,27,0.42857142857142855,0.9655172413793104,145,13992,15053,127955,53057,166,12977,0.874251497005988,1.0782092772384035
HOBBIES_1_002_CA_1_evaluation,HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,1,1,2,0.9285714285714286,0.3,69,13992,15053,127955,53057,71,12977,0.9722222222222222,1.0782092772384035
HOBBIES_1_003_CA_1_evaluation,HOBBIES_1_003,HOBBIES_1,HOBBIES,CA_1,CA,6,14,16,0.5357142857142857,1.0625,83,13992,15053,127955,53057,75,12977,1.105263157894737,1.0782092772384035
HOBBIES_1_004_CA_1_evaluation,HOBBIES_1_004,HOBBIES_1,HOBBIES,CA_1,CA,18,29,51,0.32142857142857145,0.9629629629629629,448,13992,15053,127955,53057,447,12977,1.0022321428571428,1.0782092772384035
HOBBIES_1_005_CA_1_evaluation,HOBBIES_1_005,HOBBIES_1,HOBBIES,CA_1,CA,12,20,38,0.25,1.21875,259,13992,15053,127955,53057,322,12977,0.804953560371517,1.0782092772384035
HOBBIES_1_006_CA_1_evaluation,HOBBIES_1_006,HOBBIES_1,HOBBIES,CA_1,CA,3,9,17,0.6785714285714286,0.5625,219,13992,15053,127955,53057,238,12977,0.9205020920502092,1.0782092772384035
HOBBIES_1_007_CA_1_evaluation,HOBBIES_1_007,HOBBIES_1,HOBBIES,CA_1,CA,4,5,11,0.6428571428571429,0.9230769230769231,81,13992,15053,127955,53057,80,12977,1.0123456790123457,1.0782092772384035
HOBBIES_1_008_CA_1_evaluation,HOBBIES_1_008,HOBBIES_1,HOBBIES,CA_1,CA,56,76,228,0.14285714285714285,1.6013986013986015,1129,13992,15053,127955,53057,853,12977,1.3231850117096018,1.0782092772384035
HOBBIES_1_009_CA_1_evaluation,HOBBIES_1_009,HOBBIES_1,HOBBIES,CA_1,CA,7,15,25,0.6428571428571429,2.6,238,13992,15053,127955,53057,103,12977,2.298076923076923,1.0782092772384035
HOBBIES_1_010_CA_1_evaluation,HOBBIES_1_010,HOBBIES_1,HOBBIES,CA_1,CA,4,6,19,0.5357142857142857,1.6666666666666667,163,13992,15053,127955,53057,127,12977,1.28125,1.0782092772384035
HOBBIES_1_011_CA_1_evaluation,HOBBIES_1_011,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,0.9642857142857143,0.4,27,13992,15053,127955,53057,44,12977,0.6222222222222222,1.0782092772384035
HOBBIES_1_012_CA_1_evaluation,HOBBIES_1_012,HOBBIES_1,HOBBIES,CA_1,CA,1,3,5,0.8214285714285714,1.2,77,13992,15053,127955,53057,67,12977,1.1470588235294117,1.0782092772384035
HOBBIES_1_013_CA_1_evaluation,HOBBIES_1_013,HOBBIES_1,HOBBIES,CA_1,CA,3,9,14,0.6071428571428571,1.5,113,13992,15053,127955,53057,96,12977,1.175257731958763,1.0782092772384035
