d,sales,day,date,weekday,wday,month,year,event_label,event_type_1,snap_total,roll_7,roll_28
d_1,32631,1,2011-01-29,Saturday,1,1,2011,,,0,32631.0,32631.0
d_2,31749,2,2011-01-30,Sunday,2,1,2011,,,0,32190.0,32190.0
d_3,23783,3,2011-01-31,Monday,3,1,2011,,,0,29387.666666666668,29387.666666666668
d_4,25412,4,2011-02-01,Tuesday,4,2,2011,,,2,28393.75,28393.75
d_5,19146,5,2011-02-02,Wednesday,5,2,2011,,,2,26544.2,26544.2
d_6,29211,6,2011-02-03,Thursday,6,2,2011,,,3,26988.666666666668,26988.666666666668
d_7,28010,7,2011-02-04,Friday,7,2,2011,,,1,27134.571428571428,27134.571428571428
d_8,37932,8,2011-02-05,Saturday,1,2,2011,,,3,27891.85714285714,28484.25
d_9,32736,9,2011-02-06,Sunday,2,2,2011,SuperBowl,Sporting,3,28032.85714285714,28956.666666666668
d_10,25572,10,2011-02-07,Monday,3,2,2011,,,2,28288.428571428572,28618.2
d_11,23071,11,2011-02-08,Tuesday,4,2,2011,,,2,27954.0,28113.909090909092
d_12,23658,12,2011-02-09,Wednesday,5,2,2011,,,3,28598.571428571428,27742.583333333332
d_13,23756,13,2011-02-10,Thursday,6,2,2011,,,1,27819.285714285714,27435.923076923078
d_14,26445,14,2011-02-11,Friday,7,2,2011,,,2,27595.714285714286,27365.14285714286
d_15,34833,15,2011-02-12,Saturday,1,2,2011,,,2,27153.0,27863.0
d_16,36380,16,2011-02-13,Sunday,2,2,2011,,,1,27673.571428571428,28395.3125
d_17,21804,17,2011-02-14,Monday,3,2,2011,ValentinesDay,Cultural,1,27135.285714285714,28007.58823529412
d_18,24070,18,2011-02-15,Tuesday,4,2,2011,,,2,27278.0,27788.833333333332
d_19,21443,19,2011-02-16,Wednesday,5,2,2011,,,0,26961.571428571428,27454.842105263157
d_20,20318,20,2011-02-17,Thursday,6,2,2011,,,0,26470.428571428572,27098.0
d_21,23721,21,2011-02-18,Friday,7,2,2011,,,0,26081.285714285714,26937.190476190477
d_22,31689,22,2011-02-19,Saturday,1,2,2011,,,0,25632.14285714286,27153.18181818182
d_23,29283,23,2011-02-20,Sunday,2,2,2011,,,0,24618.285714285714,27245.782608695652
d_24,23966,24,2011-02-21,Monday,3,2,2011,PresidentsDay,National,0,24927.14285714286,27109.125
d_25,20501,25,2011-02-22,Tuesday,4,2,2011,,,0,24417.285714285714,26844.8
d_26,20757,26,2011-02-23,Wednesday,5,2,2011,,,0,24319.285714285714,26610.653846153848
d_27,20277,27,2011-02-24,Thursday,6,2,2011,,,0,24313.428571428572,26376.074074074073
d_28,22529,28,2011-02-25,Friday,7,2,2011,,,0,24143.14285714286,26238.678571428572
d_29,29908,29,2011-02-26,Saturday,1,2,2011,,,0,23888.714285714286,26141.428571428572
d_30,28707,30,2011-02-27,Sunday,2,2,2011,,,0,23806.428571428572,26032.785714285714
d_31,21240,31,2011-02-28,Monday,3,2,2011,,,0,23417.0,25941.964285714286
d_32,22872,32,2011-03-01,Tuesday,4,3,2011,,,2,23755.714285714286,25851.25
d_33,22046,33,2011-03-02,Wednesday,5,3,2011,,,2,23939.85714285714,25954.821428571428
d_34,23475,34,2011-03-03,Thursday,6,3,2011,,,3,24396.714285714286,25749.964285714286
d_35,23572,35,2011-03-04,Friday,7,3,2011,,,1,24545.714285714286,25591.464285714286
d_36,31202,36,2011-03-05,Saturday,1,3,2011,,,3,24730.571428571428,25351.10714285714
d_37,34876,37,2011-03-06,Sunday,2,3,2011,,,3,25611.85714285714,25427.535714285714
d_38,24562,38,2011-03-07,Monday,3,3,2011,,,2,26086.428571428572,25391.464285714286
d_39,22752,39,2011-03-08,Tuesday,4,3,2011,,,2,26069.285714285714,25380.071428571428
d_40,22560,40,2011-03-09,Wednesday,5,3,2011,LentStart,Religious,3,26142.714285714286,25340.85714285714
d_41,22626,41,2011-03-10,Thursday,6,3,2011,,,1,26021.428571428572,25300.5
d_42,25572,42,2011-03-11,Friday,7,3,2011,,,2,26307.14285714286,25269.321428571428
d_43,32225,43,2011-03-12,Saturday,1,3,2011,,,2,26453.285714285714,25176.178571428572
d_44,31417,44,2011-03-13,Sunday,2,3,2011,,,1,25959.14285714286,24998.928571428572
d_45,24935,45,2011-03-14,Monday,3,3,2011,,,1,26012.428571428572,25110.75
d_46,24021,46,2011-03-15,Tuesday,4,3,2011,,,2,26193.714285714286,25109.0
d_47,22765,47,2011-03-16,Wednesday,5,3,2011,LentWeek2,Religious,0,26223.0,25156.214285714286
d_48,21779,48,2011-03-17,Thursday,6,3,2011,StPatricksDay,Cultural,0,26102.0,25208.39285714286
d_49,23855,49,2011-03-18,Friday,7,3,2011,,,0,25856.714285714286,25213.178571428572
d_50,30599,50,2011-03-19,Saturday,1,3,2011,,,0,25624.428571428572,25174.25
d_51,29643,51,2011-03-20,Sunday,2,3,2011,Purim End,Religious,0,25371.0,25187.10714285714
d_52,23101,52,2011-03-21,Monday,3,3,2011,,,0,25109.0,25156.214285714286
d_53,20492,53,2011-03-22,Tuesday,4,3,2011,,,0,24604.85714285714,25155.89285714286
d_54,19230,54,2011-03-23,Wednesday,5,3,2011,,,0,24099.85714285714,25101.35714285714
d_55,18854,55,2011-03-24,Thursday,6,3,2011,,,0,23682.0,25050.535714285714
d_56,23350,56,2011-03-25,Friday,7,3,2011,,,0,23609.85714285714,25079.85714285714
d_57,29620,57,2011-03-26,Saturday,1,3,2011,,,0,23470.0,25069.571428571428
d_58,29866,58,2011-03-27,Sunday,2,3,2011,,,0,23501.85714285714,25110.964285714286
d_59,21449,59,2011-03-28,Monday,3,3,2011,,,0,23265.85714285714,25118.428571428572
d_60,19581,60,2011-03-29,Tuesday,4,3,2011,,,0,23135.714285714286,25000.89285714286
d_61,18928,61,2011-03-30,Wednesday,5,3,2011,,,0,23092.571428571428,24889.535714285714
d_62,21742,62,2011-03-31,Thursday,6,3,2011,,,0,23505.14285714286,24827.64285714286
d_63,28309,63,2011-04-01,Friday,7,4,2011,,,2,24213.571428571428,24996.821428571428
d_64,33478,64,2011-04-02,Saturday,1,4,2011,,,2,24764.714285714286,25078.10714285714
d_65,33058,65,2011-04-03,Sunday,2,4,2011,,,3,25220.714285714286,25013.178571428572
d_66,24852,66,2011-04-04,Monday,3,4,2011,,,1,25706.85714285714,25023.535714285714
d_67,23581,67,2011-04-05,Tuesday,4,4,2011,,,3,26278.285714285714,25053.14285714286
d_68,22656,68,2011-04-06,Wednesday,5,4,2011,,,3,26810.85714285714,25056.571428571428
d_69,22901,69,2011-04-07,Thursday,6,4,2011,,,2,26976.428571428572,25066.39285714286
d_70,24754,70,2011-04-08,Friday,7,4,2011,,,2,26468.571428571428,25037.178571428572
d_71,31745,71,2011-04-09,Saturday,1,4,2011,,,3,26221.0,25020.035714285714
d_72,31536,72,2011-04-10,Sunday,2,4,2011,,,1,26003.571428571428,25024.285714285714
d_73,24829,73,2011-04-11,Monday,3,4,2011,,,2,26000.285714285714,25020.5
d_74,23218,74,2011-04-12,Tuesday,4,4,2011,,,2,25948.428571428572,24991.821428571428
d_75,21611,75,2011-04-13,Wednesday,5,4,2011,,,1,25799.14285714286,24950.60714285714
d_76,21964,76,2011-04-14,Thursday,6,4,2011,,,1,25665.285714285714,24957.214285714286
d_77,25482,77,2011-04-15,Friday,7,4,2011,,,2,25769.285714285714,25015.321428571428
d_78,29234,78,2011-04-16,Saturday,1,4,2011,,,0,25410.571428571428,24966.571428571428
d_79,29787,79,2011-04-17,Sunday,2,4,2011,,,0,25160.714285714286,24971.714285714286
d_80,22389,80,2011-04-18,Monday,3,4,2011,,,0,24812.14285714286,24946.285714285714
d_81,19474,81,2011-04-19,Tuesday,4,4,2011,,,0,24277.285714285714,24909.928571428572
d_82,20188,82,2011-04-20,Wednesday,5,4,2011,,,0,24074.0,24944.14285714286
d_83,19768,83,2011-04-21,Thursday,6,4,2011,,,0,23760.285714285714,24976.785714285714
d_84,24279,84,2011-04-22,Friday,7,4,2011,,,0,23588.428571428572,25009.964285714286
d_85,29575,85,2011-04-23,Saturday,1,4,2011,,,0,23637.14285714286,25008.35714285714
d_86,24018,86,2011-04-24,Sunday,2,4,2011,OrthodoxEaster / Easter,Religious,0,22813.0,24799.5
d_87,20004,87,2011-04-25,Monday,3,4,2011,,,0,22472.285714285714,24747.89285714286
d_88,18113,88,2011-04-26,Tuesday,4,4,2011,Pesach End,Religious,0,22277.85714285714,24695.464285714286
d_89,17929,89,2011-04-27,Wednesday,5,4,2011,,,0,21955.14285714286,24659.785714285714
d_90,18145,90,2011-04-28,Thursday,6,4,2011,,,0,21723.285714285714,24531.321428571428
d_91,22735,91,2011-04-29,Friday,7,4,2011,,,0,21502.714285714286,24332.25
d_92,28101,92,2011-04-30,Saturday,1,4,2011,,,0,21292.14285714286,24140.214285714286
d_93,29045,93,2011-05-01,Sunday,2,5,2011,,,2,22010.285714285714,23996.89285714286
d_94,22837,94,2011-05-02,Monday,3,5,2011,,,2,22415.0,23924.928571428572
d_95,24080,95,2011-05-03,Tuesday,4,5,2011,,,3,23267.428571428572,23942.75
d_96,20761,96,2011-05-04,Wednesday,5,5,2011,,,1,23672.0,23875.071428571428
d_97,21184,97,2011-05-05,Thursday,6,5,2011,Cinco De Mayo,Cultural,3,24106.14285714286,23813.75
d_98,24486,98,2011-05-06,Friday,7,5,2011,,,3,24356.285714285714,23804.178571428572
d_99,28412,99,2011-05-07,Saturday,1,5,2011,,,2,24400.714285714286,23685.14285714286
d_100,23688,100,2011-05-08,Sunday,2,5,2011,Mother's day,Cultural,2,23635.428571428572,23404.85714285714
d_101,25024,101,2011-05-09,Monday,3,5,2011,,,3,23947.85714285714,23411.821428571428
d_102,22231,102,2011-05-10,Tuesday,4,5,2011,,,1,23683.714285714286,23376.571428571428
d_103,22165,103,2011-05-11,Wednesday,5,5,2011,,,2,23884.285714285714,23396.35714285714
d_104,22413,104,2011-05-12,Thursday,6,5,2011,,,2,24059.85714285714,23412.39285714286
d_105,25648,105,2011-05-13,Friday,7,5,2011,,,1,24225.85714285714,23418.321428571428
d_106,28736,106,2011-05-14,Saturday,1,5,2011,,,1,24272.14285714286,23400.535714285714
d_107,31320,107,2011-05-15,Sunday,2,5,2011,,,2,25362.428571428572,23455.285714285714
d_108,22213,108,2011-05-16,Monday,3,5,2011,,,0,24960.85714285714,23449.0
d_109,19613,109,2011-05-17,Tuesday,4,5,2011,,,0,24586.85714285714,23453.964285714286
d_110,18770,110,2011-05-18,Wednesday,5,5,2011,,,0,24101.85714285714,23403.321428571428
d_111,18684,111,2011-05-19,Thursday,6,5,2011,,,0,23569.14285714286,23364.60714285714
d_112,21649,112,2011-05-20,Friday,7,5,2011,,,0,22997.85714285714,23270.678571428572
d_113,27112,113,2011-05-21,Saturday,1,5,2011,,,0,22765.85714285714,23182.714285714286
d_114,26246,114,2011-05-22,Sunday,2,5,2011,,,0,22041.0,23262.285714285714
d_115,20954,115,2011-05-23,Monday,3,5,2011,,,0,21861.14285714286,23296.214285714286
d_116,19203,116,2011-05-24,Tuesday,4,5,2011,,,0,21802.571428571428,23335.14285714286
d_117,19058,117,2011-05-25,Wednesday,5,5,2011,,,0,21843.714285714286,23375.464285714286
d_118,20480,118,2011-05-26,Thursday,6,5,2011,,,0,22100.285714285714,23458.85714285714
d_119,22481,119,2011-05-27,Friday,7,5,2011,,,0,22219.14285714286,23449.785714285714
d_120,25527,120,2011-05-28,Saturday,1,5,2011,,,0,21992.714285714286,23357.85714285714
d_121,23449,121,2011-05-29,Sunday,2,5,2011,,,0,21593.14285714286,23158.0
d_122,22538,122,2011-05-30,Monday,3,5,2011,MemorialDay,National,0,21819.428571428572,23147.321428571428
d_123,19555,123,2011-05-31,Tuesday,4,5,2011,NBAFinalsStart,Sporting,0,21869.714285714286,22985.714285714286
d_124,23165,124,2011-06-01,Wednesday,5,6,2011,,,2,22456.428571428572,23071.571428571428
d_125,22681,125,2011-06-02,Thursday,6,6,2011,,,2,22770.85714285714,23125.035714285714
d_126,26781,126,2011-06-03,Friday,7,6,2011,,,3,23385.14285714286,23207.0
d_127,30310,127,2011-06-04,Saturday,1,6,2011,,,1,24068.428571428572,23274.785714285714
d_128,31604,128,2011-06-05,Sunday,2,6,2011,,,3,25233.428571428572,23557.5
d_129,26685,129,2011-06-06,Monday,3,6,2011,,,3,25825.85714285714,23616.821428571428
d_130,25089,130,2011-06-07,Tuesday,4,6,2011,,,2,26616.428571428572,23718.89285714286
d_131,24453,131,2011-06-08,Wednesday,5,6,2011,,,2,26800.428571428572,23800.60714285714
d_132,24782,132,2011-06-09,Thursday,6,6,2011,,,3,27100.571428571428,23885.214285714286
d_133,26419,133,2011-06-10,Friday,7,6,2011,,,1,27048.85714285714,23912.75
d_134,29940,134,2011-06-11,Saturday,1,6,2011,,,2,26996.0,23955.75
d_135,31094,135,2011-06-12,Sunday,2,6,2011,NBAFinalsEnd,Sporting,2,26923.14285714286,23947.678571428572
d_136,25752,136,2011-06-13,Monday,3,6,2011,,,1,26789.85714285714,24074.071428571428
d_137,24155,137,2011-06-14,Tuesday,4,6,2011,,,1,26656.428571428572,24236.285714285714
d_138,25258,138,2011-06-15,Wednesday,5,6,2011,,,2,26771.428571428572,24468.0
d_139,22706,139,2011-06-16,Thursday,6,6,2011,,,0,26474.85714285714,24611.64285714286
d_140,24712,140,2011-06-17,Friday,7,6,2011,,,0,26231.0,24721.035714285714
d_141,28825,141,2011-06-18,Saturday,1,6,2011,,,0,26071.714285714286,24782.214285714286
d_142,26106,142,2011-06-19,Sunday,2,6,2011,Father's day,Cultural,0,25359.14285714286,24777.214285714286
d_143,24261,143,2011-06-20,Monday,3,6,2011,,,0,25146.14285714286,24895.321428571428
d_144,21810,144,2011-06-21,Tuesday,4,6,2011,,,0,24811.14285714286,24988.428571428572
d_145,21401,145,2011-06-22,Wednesday,5,6,2011,,,0,24260.14285714286,25072.10714285714
d_146,22780,146,2011-06-23,Thursday,6,6,2011,,,0,24270.714285714286,25154.25
d_147,24638,147,2011-06-24,Friday,7,6,2011,,,0,24260.14285714286,25231.285714285714
d_148,26482,148,2011-06-25,Saturday,1,6,2011,,,0,23925.428571428572,25265.39285714286
d_149,27668,149,2011-06-26,Sunday,2,6,2011,,,0,24148.571428571428,25416.071428571428
d_150,22642,150,2011-06-27,Monday,3,6,2011,,,0,23917.285714285714,25419.785714285714
d_151,19800,151,2011-06-28,Tuesday,4,6,2011,,,0,23630.14285714286,25428.535714285714
d_152,19930,152,2011-06-29,Wednesday,5,6,2011,,,0,23420.0,25313.0
d_153,21451,153,2011-06-30,Thursday,6,6,2011,,,0,23230.14285714286,25269.071428571428
d_154,31033,154,2011-07-01,Friday,7,7,2011,,,2,24143.714285714286,25420.928571428572
d_155,33001,155,2011-07-02,Saturday,1,7,2011,,,2,25075.0,25517.035714285714
d_156,29173,156,2011-07-03,Sunday,2,7,2011,,,3,25290.0,25430.214285714286
d_157,23033,157,2011-07-04,Monday,3,7,2011,IndependenceDay,National,1,25345.85714285714,25299.785714285714
d_158,26596,158,2011-07-05,Tuesday,4,7,2011,,,3,26316.714285714286,25353.60714285714
d_159,26602,159,2011-07-06,Wednesday,5,7,2011,,,3,27269.85714285714,25430.35714285714
d_160,26727,160,2011-07-07,Thursday,6,7,2011,,,2,28023.571428571428,25499.821428571428
d_161,27679,161,2011-07-08,Friday,7,7,2011,,,2,27544.428571428572,25544.821428571428
d_162,32486,162,2011-07-09,Saturday,1,7,2011,,,3,27470.85714285714,25635.75
d_163,31539,163,2011-07-10,Sunday,2,7,2011,,,1,27808.85714285714,25651.64285714286
d_164,26592,164,2011-07-11,Monday,3,7,2011,,,2,28317.285714285714,25681.64285714286
d_165,24632,165,2011-07-12,Tuesday,4,7,2011,,,2,28036.714285714286,25698.678571428572
d_166,23445,166,2011-07-13,Wednesday,5,7,2011,,,1,27585.714285714286,25633.928571428572
d_167,23447,167,2011-07-14,Thursday,6,7,2011,,,1,27117.14285714286,25660.39285714286
d_168,27349,168,2011-07-15,Friday,7,7,2011,,,2,27070.0,25754.571428571428
d_169,30869,169,2011-07-16,Saturday,1,7,2011,,,0,26839.0,25827.571428571428
d_170,30334,170,2011-07-17,Sunday,2,7,2011,,,0,26666.85714285714,25978.571428571428
d_171,24639,171,2011-07-18,Monday,3,7,2011,,,0,26387.85714285714,25992.071428571428
d_172,21931,172,2011-07-19,Tuesday,4,7,2011,,,0,26002.0,25996.39285714286
d_173,22487,173,2011-07-20,Wednesday,5,7,2011,,,0,25865.14285714286,26035.178571428572
d_174,22778,174,2011-07-21,Thursday,6,7,2011,,,0,25769.571428571428,26035.10714285714
d_175,26356,175,2011-07-22,Friday,7,7,2011,,,0,25627.714285714286,26096.464285714286
d_176,30284,176,2011-07-23,Saturday,1,7,2011,,,0,25544.14285714286,26232.25
d_177,28799,177,2011-07-24,Sunday,2,7,2011,,,0,25324.85714285714,26272.64285714286
d_178,22895,178,2011-07-25,Monday,3,7,2011,,,0,25075.714285714286,26281.678571428572
d_179,21195,179,2011-07-26,Tuesday,4,7,2011,,,0,24970.571428571428,26331.5
d_180,20504,180,2011-07-27,Wednesday,5,7,2011,,,0,24687.285714285714,26352.0
d_181,21243,181,2011-07-28,Thursday,6,7,2011,,,0,24468.0,26344.571428571428
d_182,24542,182,2011-07-29,Friday,7,7,2011,,,0,24208.85714285714,26112.75
d_183,28953,183,2011-07-30,Saturday,1,7,2011,,,0,24018.714285714286,25968.178571428572
d_184,28677,184,2011-07-31,Sunday,2,7,2011,,,0,24001.285714285714,25950.464285714286
d_185,26607,185,2011-08-01,Monday,3,8,2011,Ramadan starts,Religious,2,24531.571428571428,26078.10714285714
d_186,25475,186,2011-08-02,Tuesday,4,8,2011,,,2,25143.0,26038.071428571428
d_187,27237,187,2011-08-03,Wednesday,5,8,2011,,,3,26104.85714285714,26060.75
d_188,23713,188,2011-08-04,Thursday,6,8,2011,,,1,26457.714285714286,25953.10714285714
d_189,26594,189,2011-08-05,Friday,7,8,2011,,,3,26750.85714285714,25914.35714285714
d_190,31959,190,2011-08-06,Saturday,1,8,2011,,,3,27180.285714285714,25895.535714285714
d_191,32006,191,2011-08-07,Sunday,2,8,2011,,,2,27655.85714285714,25912.214285714286
d_192,26354,192,2011-08-08,Monday,3,8,2011,,,2,27619.714285714286,25903.714285714286
