level,n_series,wrmsse,mean_rmsse,weight_sum
L1_Total,1,0.2133651897975907,0.2133651897975907,1.0
L2_State,3,0.29835317622606794,0.3155653980687853,1.0
L3_Store,10,0.3915920298026554,0.3992050349200633,0.9999999999999999
L4_Category,3,0.2592108702586627,0.2913114354444062,1.0
L5_Department,7,0.3347771485117829,0.5310560125170332,1.0
L6_State_Category,9,0.35729966937855817,0.41804466609362606,0.9999999999999998
L7_State_Department,21,0.43290546532540053,0.6063877954871115,1.0
L8_Store_Category,30,0.4556920687636341,0.5148474165889406,0.9999999999999998
L9_Store_Department,70,0.5398485208996412,0.6667455124971354,0.9999999999999998
L10_Item,3049,0.7945655119563326,0.7901400671955146,1.0
L11_Item_State,9147,0.8087536790529858,0.7757925826463983,1.0
L12_Item_Store,30490,0.816533039225261,0.7508735543425546,0.9999999999999999
Average,42840,0.4752413640998811,,
